obs_id,usr_id,date,latitude,longitude,taxon,img_cnt,img_id,file_name,img_url,width,height,license,annotations,tags,download_time
103181642,2033687,2010-04-25,26.6861071783,-97.3782673513,Boyeria,1,172636087,103181642777.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/172636087/large.jpg,1169,1559,cc-by-nc,,,2022Jan19-10:28:58
103177974,1489409,2021-12-16,30.87492,-89.0025111167,Boyeria vinosa,4,172629534,10317797412.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/172629534/large.jpg,750,1000,cc-by-nc,Life Stage:Nymph,,2022Jan19-10:28:58
102865062,247924,2010-07-03,33.5811096334,-84.0632271334,Boyeria vinosa,1,172042819,102865062641.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/172042819/large.jpg,1024,1988,cc-by-nc,,,2022Jan19-10:28:58
102781615,3926219,2021-05-31,36.4414715428,-5.4774696673,Boyeria irene,1,171887275,102781615249.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/171887275/large.jpg,2048,1365,cc-by-nc,,,2022Jan19-10:28:58
102695653,809273,2021-10-20,31.1952112324,-85.0943581544,Boyeria vinosa,2,171726306,102695653774.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/171726306/large.jpg,1024,696,cc-by-nc,,,2022Jan19-10:28:58
102461500,4936898,2018-06-03,35.3419622744,139.5361025824,Boyeria maclachlani,1,171282009,102461500673.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/171282009/large.jpeg,1912,1275,cc0,,,2022Jan19-10:28:58
102441941,2513752,2020-08-01,45.1162100458,-84.427936853,Boyeria vinosa,1,171243704,102441941129.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/171243704/large.jpg,2048,1638,cc-by-nc,,"Boyeria vinosa,Fawn Darner,insect,michigan,odonata,Otsego County",2022Jan19-10:28:58
102334241,751958,2021-08-17,48.3813766208,-79.0089549909,Boyeria grafiana,6,171037498,102334241591.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/171037498/large.jpeg,2048,1365,cc-by-nc,"Life Stage:Adult,Alive or Dead:Alive",,2022Jan19-10:28:58
102181159,4162905,2021-11-29,39.801594,-8.0957844,Boyeria irene,1,170755535,102181159646.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/170755535/large.jpg,1280,1920,cc-by-nc,,,2022Jan19-10:28:58
101858673,1037709,2021-08-28,39.5734500596,-79.2410380772,Boyeria vinosa,3,170159495,10185867314.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/170159495/large.jpeg,2048,1535,cc-by-nc,,,2022Jan19-10:28:58
101724491,1355499,2011-08-16,37.3951187305,-8.7316846848,Boyeria irene,2,169905630,101724491354.jpg,https://static.inaturalist.org/photos/169905630/large.jpeg,2048,1536,,,,2022Jan19-10:28:58
101708554,313678,2021-05-30,41.1295965,-81.4289397,Boyeria,1,169879310,10170855416.jpg,https://static.inaturalist.org/photos/169879310/large.jpeg,2048,1365,,,,2022Jan19-10:28:58
101643496,2951094,2021-06-26,47.181845,0.967883,Boyeria irene,1,169765210,101643496999.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/169765210/large.jpg,2048,1350,cc-by-nc,,,2022Jan19-10:28:58
101507202,15796,2021-08-09,44.4868166667,-86.2150111111,Boyeria vinosa,1,169524769,101507202277.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/169524769/large.jpeg,2048,1463,cc-by-nc,,,2022Jan19-10:28:58
101471024,751958,2021-08-05,48.3813766208,-79.0089549909,Boyeria grafiana,4,169468479,101471024601.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/169468479/large.jpeg,2048,1365,cc-by-nc,"Life Stage:Adult,Alive or Dead:Alive",,2022Jan19-10:28:58
101466328,217576,2021-11-19,33.82430552,-84.51071544,Boyeria vinosa,7,169464594,101466328540.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/169464594/large.jpeg,1536,2048,cc-by-nc,,,2022Jan19-10:28:58
101145053,2092466,2021-09-04,43.8301178024,3.6296091826,Boyeria irene,6,168823169,10114505361.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/168823169/large.jpg,1536,2048,cc-by-nc,,,2022Jan19-10:28:58
100929692,3574174,2017-09-03,40.3624806393,-76.1089514295,Boyeria vinosa,1,168504856,100929692870.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/168504856/large.jpg,961,1463,cc-by-nc,Life Stage:Adult,,2022Jan19-10:28:58
100519691,1197717,2021-05-26,36.4287422222,-5.4594944444,Boyeria irene,1,167780839,100519691484.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/167780839/large.jpeg,2048,1365,cc-by,,,2022Jan19-10:28:58
100350723,1355499,2021-08-20,40.2221527778,-5.1447222222,Boyeria irene,1,167466857,100350723980.jpg,https://static.inaturalist.org/photos/167466857/large.jpeg,2048,2048,,Evidence of Presence:Molt,,2022Jan19-10:28:58
100350712,1355499,2021-08-20,40.2216111111,-5.1433138889,Boyeria irene,5,167465941,100350712920.jpg,https://static.inaturalist.org/photos/167465941/large.jpeg,911,607,,,,2022Jan19-10:28:58
100333060,556169,2021-11-05,45.1537846726,-66.2024465203,Boyeria vinosa,6,167471946,100333060679.jpg,https://static.inaturalist.org/photos/167471946/large.jpeg,1410,1058,,"Life Stage:Adult,Sex:Male,Alive or Dead:Dead",,2022Jan19-10:28:58
100163164,1355499,2021-08-18,40.1180555556,-5.7778305556,Boyeria irene,2,167132780,100163164253.jpg,https://static.inaturalist.org/photos/167132780/large.jpeg,1124,749,,,,2022Jan19-10:28:58
100116757,751958,2021-07-17,48.3813766208,-79.0089549909,Boyeria grafiana,6,167052810,100116757676.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/167052810/large.jpeg,2048,1365,cc-by-nc,"Life Stage:Adult,Alive or Dead:Alive",,2022Jan19-10:28:58
100054670,4936898,2021-10-31,35.3162455182,139.4206440872,Boyeria maclachlani,4,166935841,100054670925.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/166935841/large.jpeg,2048,1365,cc0,,,2022Jan19-10:28:58
99909548,1370516,2021-10-24,43.4828827867,-6.4297344368,Boyeria irene,1,166657907,99909548820.jpg,https://static.inaturalist.org/photos/166657907/large.jpg,1010,746,,,,2022Jan19-10:28:58
99794280,2092466,2021-07-06,43.6273280876,5.2070885699,Boyeria irene,3,166423367,99794280456.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/166423367/large.jpeg,2048,1365,cc-by-nc,,,2022Jan19-10:28:58
99625687,5160566,2021-10-28,,,Boyeria vinosa,1,166118690,99625687486.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/166118690/large.jpg,2048,1536,cc-by-nc,,,2022Jan19-10:28:58
99131045,584526,2021-10-23,44.47698,-77.30204,Boyeria vinosa,4,165188973,99131045450.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/165188973/large.jpg,800,648,cc-by-nc,Life Stage:Nymph,,2022Jan19-10:28:58
99042880,751958,2021-07-13,48.3813766208,-79.0089549909,Boyeria grafiana,3,165021672,99042880775.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/165021672/large.jpeg,2048,1365,cc-by-nc,"Life Stage:Adult,Alive or Dead:Alive",,2022Jan19-10:28:58
99038263,12158,2021-08-20,44.34083838,-72.4613196,Boyeria vinosa,3,164895720,99038263205.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/164895720/large.jpg,2000,1333,cc-by-nc,Life Stage:Adult,"CalaisVT,Frizzle mountain,Miscellaneous,new england,North America,Places,United States of America,Vermont,skimmers",2022Jan19-10:28:58
99034675,696318,2021-09-04,41.8150236261,-80.7072412459,Boyeria vinosa,3,165010784,9903467592.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/165010784/large.jpg,800,800,cc-by-nc,,,2022Jan19-10:28:58
98990514,2190209,2021-10-20,40.5562312916,-86.3916398145,Boyeria vinosa,2,164929353,98990514843.jpg,https://static.inaturalist.org/photos/164929353/large.jpeg,1536,2048,,,,2022Jan19-10:28:58
98939158,2436233,2021-08-15,48.3364065399,-68.7853462305,Boyeria grafiana,1,164837374,98939158816.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/164837374/large.jpeg,2048,1536,cc-by-nc,,,2022Jan19-10:28:58
98832675,2190209,2021-10-20,40.5562133333,-86.3916166667,Boyeria vinosa,2,164638271,98832675633.jpg,https://static.inaturalist.org/photos/164638271/large.jpg,1536,2048,,,,2022Jan19-10:28:58
98832108,2190209,2021-10-20,40.5562083333,-86.3915866667,Boyeria,2,164636995,98832108415.jpg,https://static.inaturalist.org/photos/164636995/large.jpg,1536,2048,,,,2022Jan19-10:28:58
98363918,5072296,2020-07-16,43.8272599839,3.6214290932,Boyeria irene,1,163751989,98363918977.jpg,https://static.inaturalist.org/photos/163751989/large.jpg,1960,1719,,,,2022Jan19-10:28:58
98048512,1823390,2021-10-12,36.0651805,-80.3307116667,Boyeria,2,163166869,98048512461.jpg,https://static.inaturalist.org/photos/163166869/large.jpg,1399,1550,,,,2022Jan19-10:28:58
97996458,3378566,2021-10-10,43.1727969864,-7.8115113935,Boyeria irene,3,163074728,97996458511.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/163074728/large.jpg,1578,1128,cc-by-nc,,,2022Jan19-10:28:58
97933410,3722767,2021-10-11,35.307888031,-82.4601898193,Boyeria vinosa,1,162954750,97933410789.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/162954750/large.jpeg,1152,2048,cc-by-nc,,,2022Jan19-10:28:58
97930525,1383182,2021-10-05,43.3016,-6.9275833333,Boyeria irene,1,162949436,97930525458.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/162949436/large.jpeg,2048,1674,cc-by-nc,,,2022Jan19-10:28:58
97926165,4810535,2021-10-10,43.5270690833,-5.6334318611,Boyeria irene,3,162940979,97926165780.jpg,https://static.inaturalist.org/photos/162940979/large.jpeg,921,2048,,"Life Stage:Adult,Sex:Male,Alive or Dead:Alive,Evidence of Presence:Organism",,2022Jan19-10:28:58
97867110,2247577,2021-10-10,36.8875319728,-93.1550281495,Boyeria vinosa,1,162834925,97867110885.jpg,https://static.inaturalist.org/photos/162834925/large.jpeg,1536,2048,,,,2022Jan19-10:28:58
97811019,5052843,2020-07-05,37.0658638889,-79.0894555556,Boyeria vinosa,4,162725371,97811019952.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/162725371/large.jpeg,1536,2048,cc-by-nc,,,2022Jan19-10:28:58
97810896,5052843,2020-06-09,36.5422222222,-79.2141333333,Boyeria vinosa,1,162711273,97810896925.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/162711273/large.jpeg,1536,2048,cc-by-nc,,,2022Jan19-10:28:58
97630348,4371866,2021-10-09,45.0829683162,-66.4864272439,Boyeria grafiana,3,162402600,97630348905.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/162402600/large.jpg,1536,2048,cc-by-nc,"Life Stage:Adult,Sex:Male,Alive or Dead:Alive,Evidence of Presence:Organism",,2022Jan19-10:28:58
97609029,4338595,2021-10-08,38.7856166667,-77.3826472222,Boyeria vinosa,5,162360333,9760902949.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/162360333/large.jpeg,1624,2048,cc-by-nc,"Life Stage:Adult,Alive or Dead:Alive,Evidence of Presence:Organism",,2022Jan19-10:28:58
97587948,973403,2021-10-03,35.9884133333,-79.0048916667,Boyeria vinosa,1,162321033,97587948599.jpg,https://static.inaturalist.org/photos/162321033/large.jpg,1536,2048,,,,2022Jan19-10:28:58
