Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,imageID,dorsal_lateral_bad,weight_bad,weight_dorsal,weight_lateral,conf_infers1,conf_infers3,conf_infers5,conf_infers7,bad_signifier
3352.0,2271.0,,INAT-17937495-1,lateral,-5.104829788208008,-8.028240203857422,13.14084815979004,lateral,lateral,lateral,lateral,
3353.0,2272.0,,INAT-6446123-3,bad,4.430405616760254,-8.189053535461426,4.010003089904785,bad,bad,bad,bad,
3354.0,2273.0,,INAT-49498541-2,bad,4.938270092010498,-2.9385344982147217,-2.300109386444092,bad,bad,bad,bad,
3355.0,2274.0,,INAT-215754-3,lateral,-1.3659532070159912,-5.798565864562988,7.766672134399414,lateral,lateral,lateral,lateral,
3356.0,2275.0,,INAT-49086486-1,lateral,0.9630951881408693,-7.677524089813232,6.429949760437012,lateral,lateral,lateral,bad,
3357.0,2276.0,,INAT-7813862-1,lateral,0.764845073223114,-11.92081069946289,11.29585075378418,lateral,lateral,lateral,lateral,
3358.0,2277.0,,INAT-65071321-1,lateral,-2.062859058380127,-8.788102149963379,11.150257110595703,lateral,lateral,lateral,lateral,
3359.0,2278.0,,INAT-121872050-1,lateral,-9.014299392700195,-8.082901000976562,17.184568405151367,lateral,lateral,lateral,lateral,
3360.0,2279.0,,INAT-30181422-2,dorsal,-5.743759632110596,3.45473313331604,2.188612461090088,dorsal,bad,bad,bad,
3361.0,2280.0,,INAT-14003485-14,dorsal,-6.112216472625732,5.669703483581543,0.1309696435928344,dorsal,dorsal,dorsal,bad,
3362.0,2281.0,,INAT-29216897-3,lateral,-6.978759288787842,2.740196943283081,4.466259479522705,lateral,bad,bad,bad,
3363.0,2282.0,,INAT-26722341-1,lateral,-1.9395118951797483,0.2794957756996155,1.4804247617721558,lateral,bad,bad,bad,
3364.0,2283.0,,INAT-93791292-1,bad,6.4474406242370605,-4.575969219207764,-2.2157623767852783,bad,bad,bad,bad,
3365.0,2284.0,,INAT-6973036-1,lateral,-9.15353298187256,-7.875114917755127,16.931316375732422,lateral,lateral,lateral,lateral,
3366.0,2285.0,,INAT-6618292-2,bad,6.598655223846436,-10.67438507080078,4.185976982116699,bad,bad,bad,bad,
3367.0,2286.0,,INAT-37465589-3,bad,10.658750534057615,-11.83075714111328,1.006812572479248,bad,bad,bad,bad,
3368.0,2287.0,,INAT-121958117-4,lateral,1.1149868965148926,-7.04487943649292,5.947305679321289,lateral,lateral,bad,bad,
3369.0,2288.0,,INAT-95531118-1,bad,3.2997069358825684,-3.4818716049194336,0.1678743958473205,bad,bad,bad,bad,
3370.0,2289.0,,INAT-30816698-1,lateral,0.6389048099517822,-6.655823230743408,6.021815776824951,lateral,lateral,lateral,bad,
3371.0,2290.0,,INAT-48924806-1,lateral,-5.0221781730651855,-4.036070823669434,9.12929916381836,lateral,lateral,lateral,lateral,
3372.0,2291.0,,INAT-6758363-1,lateral,1.8794060945510864,-4.11876916885376,2.2081844806671143,bad,bad,bad,bad,
3373.0,2292.0,,INAT-123314502-1,lateral,-7.131289958953857,-3.1340324878692627,10.10775089263916,lateral,lateral,lateral,lateral,
3374.0,2293.0,,INAT-28816015-3,lateral,-9.574009895324709,-4.462493419647217,14.161855697631836,lateral,lateral,lateral,lateral,
3375.0,2294.0,,INAT-83323876-3,dorsal,1.2167067527770996,3.807764768600464,-5.173405170440674,dorsal,bad,bad,bad,
3376.0,2295.0,,INAT-49791203-1,lateral,1.8556480407714844,-6.540345191955566,4.678833961486816,lateral,bad,bad,bad,
3377.0,2296.0,,INAT-6607912-1,lateral,2.280879259109497,-7.775784492492676,5.466958522796631,lateral,lateral,bad,bad,
3378.0,2297.0,,INAT-12998512-3,lateral,-2.872022867202759,1.2681413888931274,1.8649648427963257,bad,bad,bad,bad,
3379.0,2298.0,,INAT-7273576-6,dorsal,-5.934589862823486,5.8988542556762695,-0.0262604691088199,dorsal,dorsal,dorsal,bad,
3380.0,2299.0,,INAT-90205119-2,dorsal,1.2106679677963257,4.761037826538086,-6.336122989654541,dorsal,dorsal,bad,bad,
3381.0,2300.0,,INAT-120229277-1,lateral,-5.593446254730225,-7.860636234283447,13.635358810424805,lateral,lateral,lateral,lateral,
3382.0,2301.0,,INAT-3369730-2,dorsal,-6.343430042266846,6.78143835067749,-0.5383866429328918,dorsal,dorsal,dorsal,dorsal,
3383.0,2302.0,,INAT-25855591-1,bad,6.849071502685547,-7.214893817901611,0.0683933347463607,bad,bad,bad,bad,
3384.0,2303.0,,INAT-30909414-3,lateral,-3.5022592544555664,-10.679488182067873,14.380626678466797,lateral,lateral,lateral,lateral,
3385.0,2304.0,,INAT-6913225-1,bad,2.170210599899292,0.3133338987827301,-2.608269691467285,bad,bad,bad,bad,
