,John,,,,Jessica,,,
"Neurocordulia xanthosoma (Williamson, 1908) - Orange Shadowdragon",,x,,,,X,,
"Neurocordulia yamaskanensis (Provancher, 1875) - Stygian Shadowdragon",,x,,,,X,,
"Somatochlora albicincta (Burmeister, 1839) - Ringed Emerald",,x,,,,X,,
"Somatochlora brevicincta Robert, 1954 - Quebec Emerald",,x,,,,X,,
"Somatochlora calverti Williamson and Gloyd, 1933 - Calvert’s Emerald",,x,,,,X,,
"Somatochlora cingulata (Selys, 1871) - Lake Emerald",,x,,,,X,,
"Somatochlora elongata (Scudder, 1866) - Ski-tipped Emerald",,x,,,,X,,
"Somatochlora ensigera Martin, 1906 - Plains Emerald",,x,,,,X,,
"Somatochlora filosa (Hagen, 1861) - Fine-lined Emerald",,x,,,,X,,
"Somatochlora forcipata (Scudder, 1866) - Forcipate Emerald",,x,,,,X,,
"Somatochlora franklini (Selys, 1878) - Delicate Emerald",,x,,,,X,,
"Somatochlora georgiana Walker, 1925 - Coppery Emerald",,x,,,,X,,
"Somatochlora hineana Williamson, 1931 - Hine’s Emerald",,x,,,,X,,
"Somatochlora hudsonica (Hagen in Selys, 1871) - Hudsonian Emerald",,x,,,,X,,
"Somatochlora incurvata Walker, 1918 - Incurvate Emerald",,x,,,,X,,
"Somatochlora kennedyi Walker, 1918 - Kennedy’s Emerald",,x,,,,X,,
"Somatochlora linearis (Hagen, 1861) - Mocha Emerald",,x,,,,X,,
"Somatochlora margarita Donnelly, 1962 - Texas Emerald",,x,,,,X,,
"Somatochlora minor Calvert in Harvey, 1898 - Ocellated Emerald",,x,,,,X,,
"Somatochlora ozarkensis Bird, 1933 - Ozark Emerald",,x,,,,X,,
"Somatochlora provocans Calvert, 1903 - Treetop Emerald",,x,,,,X,,
"Somatochlora sahlbergi Trybom, 1889 - Treeline Emerald",,x,,,,X,,
"Somatochlora semicircularis (Selys, 1871) - Mountain Emerald",,x,,,,X,,
"Somatochlora septentrionalis (Hagen, 1861) - Muskeg Emerald",,x,,,,X,,
"Somatochlora tenebrosa (Say, 1839) - Clamp-tipped Emerald",,x,,,,X,,
"Somatochlora walshii (Scudder, 1866) - Brush-tipped Emerald",,x,,,,X,,
"Somatochlora whitehousei Walker, 1925 - Whitehouse’s Emerald",,x,,,,X,,
"Somatochlora williamsoni Walker, 1907 - Williamson’s Emerald",,x,,,,X,,
"Williamsonia fletcheri Williamson, 1923 - Ebony Boghaunter",,x,,,,X,,
"Williamsonia lintneri (Hagen in Selys, 1878) - Ringed Boghaunter",,x,,,,X,,
,,,,,,,,
Libellulidae - Skimmers,,,,,,,,
"Brachymesia furcata (Hagen, 1861) - Red-tailed Pennant",x,,,,X,,,
"Brachymesia gravida (Calvert, 1890) - Four-spotted Pennant",x,,,,X,,,
"Brachymesia herbida (Gundlach, 1889) - Tawny Pennant",x,,,,X,,,
"Brechmorhoga mendax (Hagen, 1861) - Pale-faced Clubskimmer",x,,,,X,,,
"Brechmorhoga pertinax (Hagen, 1861) - Masked Clubskimmer",x,,,,X,,,
"Brechmorhoga praecox (Hagen, 1861) - Slender Clubskimmer",x,,,,X,,,
"Cannaphila insularis Kirby, 1889 - Gray-waisted Skimmer",x,,,,X,,,
"Celithemis amanda (Hagen, 1861) - Amanda’s Pennant",x,,,,X,,,
"Celithemis bertha Williamson, 1922 - Red-veined Pennant",x,,,,X,,,
"Celithemis elisa (Hagen, 1861) - Calico Pennant",x,,,,X,,,
"Celithemis eponina (Drury, 1773) - Halloween Pennant",x,,,,X,,,
"Celithemis fasciata Kirby, 1889 - Banded Pennant",x,,,,X,,,
"Celithemis martha Williamson, 1922 - Martha’s Pennant",x,,,,X,,,
"Celithemis ornata (Rambur, 1842) - Ornate Pennant",x,,,,X,,,
"Celithemis verna Pritchard, 1935 - Double-ringed Pennant",x,,,,X,,,
"Crocothemis servilia (Drury, 1773) - Scarlet Skimmer",x,,,,X,,,
"Dythemis fugax Hagen, 1861 - Checkered Setwing",x,,,,X,,,
"Dythemis maya Calvert, 1906 - Mayan Setwing",x,,,,X,,,
"Dythemis nigrescens Calvert, 1899 - Black Setwing",x,,,,X,,,
"Dythemis velox Hagen, 1861 - Swift Setwing",x,,,,X,,,
"Erythemis attala (Selys in Sagra, 1857) - Black Pondhawk",x,,,,X,,,
"Erythemis collocata (Hagen, 1861) - Western Pondhawk",x,,,,X,,,
"Erythemis mithroides (Brauer, 1900) - Claret Pondhawk",x,,,,X,,,
"Erythemis peruviana (Rambur, 1842) - Flame-tailed Pondhawk",x,,,,X,,,
"Erythemis plebeja (Burmeister, 1839) - Pin-tailed Pondhawk",x,,,,X,,,
"Erythemis simplicicollis (Say, 1839) - Eastern Pondhawk",x,,,,X,,,
"Erythemis vesiculosa (Fabricius, 1775) - Great Pondhawk",x,,,,,,X,
"Erythrodiplax basifusca (Calvert, 1895) - Plateau Dragonlet",x,,,,X,,,
"Erythrodiplax berenice (Drury, 1773) - Seaside Dragonlet",x,,,,X,,,
"Erythrodiplax fervida (Erichson, 1848) - Red-mantled Dragonlet",x,,,,X,,,
"Erythrodiplax funerea (Hagen, 1861) - Black-winged Dragonlet",x,,,,X,,,
"Erythrodiplax fusca (Rambur, 1842) - Red-faced Dragonlet",x,,,,X,,,
"Erythrodiplax minuscula (Rambur, 1842) - Little Blue Dragonlet",x,,,,X,,,
"Erythrodiplax umbrata (Linnaeus, 1758) - Band-winged Dragonlet",x,,,,X,,,
"Idiataphe cubensis (Scudder, 1866) - Metallic Pennant",x,,,,X,,,
"Ladona deplanata (Rambur, 1842) - Blue Corporal",x,,,,X,,,Personal observation
"Ladona exusta (Say, 1839) - White Corporal",x,,,,X,,,Personal observation
"Ladona julia (Uhler, 1857) - Chalk-fronted Corporal",x,,,,X,,,Personal observation
"Leucorrhinia borealis Hagen, 1890 - Boreal Whiteface",x,,,,X,,,Personal observation
"Leucorrhinia frigida Hagen, 1890 - Frosted Whiteface",x,,,,X,,,Personal observation
"Leucorrhinia glacialis Hagen, 1890 - Crimson-ringed Whiteface",x,,,,X,,,Personal observation
"Leucorrhinia hudsonica (Selys, 1850) - Hudsonian Whiteface",x,,,,X,,,Personal observation
"Leucorrhinia intacta (Hagen, 1861) - Dot-tailed Whiteface",x,,,,X,,,Personal observation
"Leucorrhinia patricia Walker, 1940 - Canada Whiteface",x,,,,X,,,Personal observation
"Leucorrhinia proxima Calvert, 1890 - Belted Whiteface",x,,,,X,,,Personal observation
"Libellula auripennis Burmeister, 1839 - Golden-winged Skimmer",x,,,,X,,,
"Libellula axilena Westwood, 1837 - Bar-winged Skimmer",x,,,,X,,,
"Libellula comanche Calvert, 1907 - Comanche Skimmer",x,,,,X,,,
"Libellula composita (Hagen, 1873) - Bleached Skimmer",x,,,,X,,,
"Libellula croceipennis Selys, 1868 - Neon Skimmer",x,,,,X,,,
"Libellula cyanea Fabricius, 1775 - Spangled Skimmer",x,,,,X,,,
"Libellula flavida Rambur, 1842 - Yellow-sided Skimmer",x,,,,X,,,
"Libellula forensis Hagen, 1861 - Eight-spotted Skimmer",x,,,,X,,,
"Libellula gaigei Gloyd, 1938 - Red-mantled Skimmer",x,,,,X,,,
"Libellula incesta Hagen, 1861 - Slaty Skimmer",x,,,,X,,,
"Libellula jesseana Williamson, 1922 - Purple Skimmer",x,,,,X,,,
"Libellula luctuosa Burmeister, 1839 - Widow Skimmer",x,,,,X,,,
"Libellula needhami Westfall, 1943 - Needham’s Skimmer",x,,,,X,,,
"Libellula nodisticta Hagen, 1861 - Hoary Skimmer",x,,,,X,,,
"Libellula pulchella Drury, 1773 - Twelve-spotted Skimmer",x,,,,X,,,
"Libellula quadrimaculata Linnaeus, 1758 - Four-spotted Skimmer",x,,,,X,,,
"Libellula saturata Uhler, 1857 - Flame Skimmer",x,,,,X,,,
"Libellula semifasciata Burmeister, 1839 - Painted Skimmer",x,,,,X,,,
"Libellula vibrans Fabricius, 1793 - Great Blue Skimmer",x,,,,X,,,
"Macrodiplax balteata (Hagen, 1861) - Marl Pennant",x,,,,X,,,
"Macrothemis imitans Karsch, 1890 - Ivory-striped Sylph",x,,,,X,,,
"Macrothemis inacuta Calvert, 1898 - Straw-colored Sylph",x,,,,X,,,
"Macrothemis inequiunguis Calvert, 1895 - Jade-striped Sylph",x,,,,X,,,
"Macrothemis pseudimitans Calvert, 1858 - White-tailed Sylph",x,,,,X,,,
"Miathyria marcella (Selys in Sagra, 1856) - Hyacinth Glider",x,,,,,,X,
"Micrathyria aequalis (Hagen, 1861) - Spot-tailed Dasher",x,,,,X,,,
"Micrathyria didyma (Selys in Sagra, 1857) - Three-striped Dasher",x,,,,X,,,
"Micrathyria dissocians Calvert, 1906 - Caribbean Dasher",x,,,,X,,,
"Micrathyria hagenii Kirby, 1890 - Thornbush Dasher",x,,,,X,,,
"Nannothemis bella (Uhler, 1857) - Elfin Skimmer",x,,,,X,,,
"Orthemis discolor (Burmeister, 1839) - Carmine Skimmer",x,,,,,,X,
"Orthemis ferruginea (Fabricius, 1775) - Roseate Skimmer",x,,,,,,X,
Orthemis sp. - Antillean Skimmer,x,,,,,,X,
"Pachydiplax longipennis (Burmeister, 1839) - Blue Dasher",x,,,,X,,,
"Paltothemis lineatipes Karsch, 1890 - Red Rock Skimmer",x,,,,X,,,
"Pantala flavescens (Fabricius, 1798) - Wandering Glider",,x,,,,X,,
"Pantala hymenaea (Say, 1839) - Spot-winged Glider",,x,,,,X,,
"Perithemis domitia (Drury, 1773) - Slough Amberwing",x,,,,X,,,
"Perithemis intensa Kirby, 1889 - Mexican Amberwing",x,,,,X,,,
"Perithemis tenera (Say, 1839) - Eastern Amberwing",x,,,,X,,,
"Planiplax sanguiniventris (Calvert, 1907) - Mexican Scarlet-tail",x,,,,X,,,
"Plathemis lydia (Drury, 1773) - Common Whitetail",x,,,,X,,,
"Plathemis subornata Hagen, 1861 - Desert Whitetail",x,,,,X,,,
"Pseudoleon superbus (Hagen, 1861) - Filigree Skimmer",x,,,,X,,,
"Sympetrum ambiguum (Rambur, 1842) - Blue-faced Meadowhawk",x,,,,X,,,
"Sympetrum corruptum (Hagen, 1861) - Variegated Meadowhawk",x,,,,X,,,
"Sympetrum costiferum (Hagen, 1861) - Saffron-winged Meadowhawk",x,,,,X,,,
"Sympetrum danae (Sulzer, 1776) - Black Meadowhawk",x,,,,X,,,
"Sympetrum illotum (Hagen, 1861) - Cardinal Meadowhawk",x,,,,X,,,
"Sympetrum internum Montgomery, 1943 - Cherry-faced Meadowhawk",x,,,,X,,,
"Sympetrum madidum (Hagen, 1861) - Red-veined Meadowhawk",x,,,,X,,,
"Sympetrum obtrusum (Hagen, 1867) - White-faced Meadowhawk",x,,,,X,,,
"Sympetrum pallipes (Hagen, 1874) - Striped Meadowhawk",x,,,,X,,,
"Sympetrum rubicundulum (Say, 1839) - Ruby Meadowhawk",x,,,,X,,,
"Sympetrum semicinctum (Say, 1839) - Band-winged Meadowhawk",x,,,,X,,,
"Sympetrum signiferum Cannings and Garrison, 1991 - Spot-winged Meadowhawk",x,,,,X,,,
"Sympetrum vicinum (Hagen, 1861) - Autumn Meadowhawk",x,,,,X,,,
"Tauriphila argo (Hagen, 1869) - Arch-tipped Glider",,x,,,,X,,
"Tauriphila australis (Hagen, 1867) - Garnet Glider",,x,,,,X,,
"Tauriphila azteca Calvert, 1906 - Aztec Glider",,x,,,,X,,
"Tholymis citrina Hagen, 1867 - Evening Skimmer",x,,,,,,X,
"Tramea abdominalis (Rambur, 1842) - Vermilion Saddlebags",,x,,,,x,,Personal observation
"Tramea binotata (Rambur, 1842) - Sooty Saddlebags",,x,,,,x,,Personal observation
"Tramea carolina (Linnaeus, 1763) - Carolina Saddlebags",,x,,,,x,,Personal observation
"Tramea darwini Kirby, 1889 - Striped Saddlebags",,x,,,,x,,Personal observation
"Tramea insularis Hagen, 1861 - Antillean Saddlebags",,x,,,,x,,Personal observation
"Tramea lacerata Hagen, 1861 - Black Saddlebags",,x,,,,x,,Personal observation
"Tramea onusta Hagen, 1861 - Red Saddlebags",,x,,,,x,,Personal observation
