,John,,,,Jessica,,,
"Enallagma basidens Calvert, 1902 - Double-striped Bluet",x,,,,X,,,
"Enallagma boreale Selys, 1875 - Boreal Bluet",x,,,,X,,,
"Enallagma cardenium Selys, 1876 - Purple Bluet",x,,,,X,,,
"Enallagma carunculatum Morse, 1895 - Tule Bluet",x,,,,X,,,
"Enallagma civile (Hagen, 1861) - Familiar Bluet",x,,,,X,,,
"Enallagma clausum Morse, 1895 - Alkali Bluet",x,,,,X,,,
"Enallagma concisum Williamson, 1922 - Cherry Bluet",x,,,,X,,,
"Enallagma daeckii (Calvert, 1903) - Attenuated Bluet",x,,,,X,,,
"Enallagma davisi Westfall, 1943 - Sandhill Bluet",x,,,,X,,,
"Enallagma divagans Selys, 1876 - Turquoise Bluet",x,,,,X,,,
"Enallagma doubledayi (Selys, 1850) - Atlantic Bluet",x,,,,X,,,
"Enallagma dubium Root, 1924 - Burgundy Bluet",x,,,,X,,,
"Enallagma durum (Hagen, 1861) - Big Bluet",x,,,,X,,,
"Enallagma ebrium (Hagen, 1861) - Marsh Bluet",x,,,,X,,,
"Enallagma eiseni Calvert, 1895 - Baja Bluet",x,,,,X,,,
"Enallagma exsulans (Hagen, 1861) - Stream Bluet",x,,,,X,,,
"Enallagma geminatum Kellicott, 1895 - Skimming Bluet",x,,,,X,,,
"Enallagma hageni (Walsh, 1863) - Hagen’s Bluet",x,,,,X,,,
"Enallagma laterale Morse, 1895 - New England Bluet",x,,,,X,,,
"Enallagma minusculum Morse, 1895 - Little Bluet",x,,,,X,,,
"Enallagma novaehispaniae Calvert, 1907 - Neotropical Bluet",x,,,,X,,,
"Enallagma pallidum Root, 1923 - Pale Bluet",x,,,,X,,,
"Enallagma pictum Morse, 1895 - Scarlet Bluet",x,,,,X,,,
"Enallagma pollutum (Hagen, 1861) - Florida Bluet",x,,,,X,,,
"Enallagma praevarum (Hagen, 1861) - Arroyo Bluet",x,,,,X,,,
"Enallagma recurvatum Davis, 1913 - Pine Barrens Bluet",x,,,,X,,,
"Enallagma semicirculare Selys, 1876 - Claw-tipped Bluet",x,,,,X,,,
"Enallagma signatum (Hagen, 1861) - Orange Bluet",x,,,,X,,,
"Enallagma sulcatum Williamson, 1922 - Golden Bluet",x,,,,X,,,
"Enallagma traviatum Selys, 1876 - Slender Bluet",x,,,,X,,,
"Enallagma vernale Gloyd, 1943 - Vernal Bluet",x,,,,X,,,
"Enallagma vesperum Calvert, 1919 - Vesper Bluet",x,,,,X,,,
"Enallagma weewa Byers, 1927 - Blackwater Bluet",x,,,,X,,,
"Hesperagrion heterodoxum (Selys, 1868) - Painted Damsel",x,,,,X,,,
"Ischnura barberi Currie, 1903 - Desert Forktail",x,,,,X,,,
"Ischnura cervula Selys, 1876 - Pacific Forktail",x,,,,X,,,
"Ischnura damula Calvert, 1902 - Plains Forktail",x,,,,X,,,
"Ischnura demorsa (Hagen, 1861) - Mexican Forktail",x,,,,X,,,
"Ischnura denticollis (Burmeister, 1839) - Black-fronted Forktail",x,,,,X,,,
"Ischnura erratica Calvert, 1895 - Swift Forktail",x,,,,X,,,
"Ischnura gemina (Kennedy, 1917) - San Francisco Forktail",x,,,,X,,,
"Ischnura hastata (Say, 1839) - Citrine Forktail",x,,,,X,,,
"Ischnura kellicotti Williamson, 1898 - Lilypad Forktail",x,,,,X,,,
"Ischnura perparva McLachlan in Selys, 1876 - Western Forktail",x,,,,X,,,
"Ischnura posita (Hagen, 1861) - Fragile Forktail",x,,,,X,,,
"Ischnura prognata (Hagen, 1861) - Furtive Forktail",x,,,,X,,,
"Ischnura ramburii (Selys, 1850) - Rambur’s Forktail",x,,,,X,,,
"Ischnura verticalis (Say, 1839) - Eastern Forktail",x,,,,X,,,
"Leptobasis lucifer (Donnelly, 1967) - Lucifer Swampdamsel",x,,,,X,,,
"Leptobasis melinogaster González-Soriano, 2002 - Cream-tipped Swampdamsel",x,,,,X,,,
"Leptobasis vacillans Hagen in Selys, 1877 - Red-tipped Swampdamsel",x,,,,X,,,
"Nehalennia gracilis Morse, 1895 - Sphagnum Sprite",x,,,,X,,,
"Nehalennia integricollis Calvert, 1913 - Southern Sprite",x,,,,X,,,
"Nehalennia irene (Hagen, 1861) - Sedge Sprite",x,,,,X,,,
"Nehalennia minuta (Selys in Sagra, 1857) - Tropical Sprite",x,,,,X,,,
"Nehalennia pallidula Calvert, 1913 - Everglades Sprite",x,,,,X,,,
"Neoerythromma cultellatum (Selys, 1876) - Caribbean Yellowface",x,,,,X,,,
"Neoneura aaroni Calvert, 1903 - Coral-fronted Threadtail",x,,,,X,,,
"Neoneura amelia Calvert, 1903 - Amelia’s Threadtail",x,,,,X,,,
"Protoneura cara Calvert, 1903 - Orange-striped Threadtail",x,,,,X,,,
"Telebasis byersi Westfall, 1957 - Duckweed Firetail",x,,,,X,,,
"Telebasis digiticollis Calvert, 1902 - Marsh Firetail",x,,,,X,,,
"Telebasis salva (Hagen, 1861) - Desert Firetail",x,,,,X,,,
"Zoniagrion exclamationis (Selys, 1876) - Exclamation Damsel",x,,,,X,,,
,,,,,,,,
